2026-06-08 21:35:22,865 | WARNING | Search failed 2025 厦门市中等职业学校学业水平考试 公共基础: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,865 | INFO | Search query: 2025 公共基础知识综合卷
2026-06-08 21:35:22,866 | WARNING | Search failed 2025 公共基础知识综合卷: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,866 | INFO | Search query: 2025 中职学考公共基础数学
2026-06-08 21:35:22,866 | WARNING | Search failed 2025 中职学考公共基础数学: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,866 | INFO | Search query: 2025 厦门 中职 公共基础 模拟卷 数学
2026-06-08 21:35:22,866 | WARNING | Search failed 2025 厦门 中职 公共基础 模拟卷 数学: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,867 | INFO | Search query: 2025 厦门市 中职 学考 公共基础知识 模拟试卷
2026-06-08 21:35:22,867 | WARNING | Search failed 2025 厦门市 中职 学考 公共基础知识 模拟试卷: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,867 | INFO | Search query: 2026 厦门市中等职业学校学业水平考试 公共基础
2026-06-08 21:35:22,867 | WARNING | Search failed 2026 厦门市中等职业学校学业水平考试 公共基础: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,868 | INFO | Search query: 2026 公共基础知识综合卷
